student_id,guardian_id,relationship,is_primary_contact,is_emergency_contact
5747,3254,MOTHER,false,false
5750,3187,FATHER,true,false
5750,3188,MOTHER,false,false
5756,2882,MOTHER,false,false
5761,3435,FATHER,true,false
5761,3436,MOTHER,false,false
5762,3462,FATHER,true,false
5762,3463,MOTHER,false,false
5776,2848,FATHER,true,false
5776,2849,MOTHER,false,false
5780,2983,FATHER,true,false
5780,2984,MOTHER,false,false
5781,3101,FATHER,true,false
5781,3102,MOTHER,false,false
5782,3101,FATHER,true,false
5782,3102,MOTHER,false,false
5783,3101,FATHER,true,false
5783,3102,MOTHER,false,false
5801,3359,FATHER,true,false
5801,3360,MOTHER,false,false
5802,3214,FATHER,true,false
5802,3215,MOTHER,false,false
5813,2799,FATHER,true,false
5816,3082,FATHER,true,false
5816,3083,MOTHER,false,false
5820,3562,FATHER,true,false
5822,3464,FATHER,true,false
5822,3465,MOTHER,false,false
5827,3437,FATHER,true,false
5827,3438,MOTHER,false,false
5828,3437,FATHER,true,false
5828,3438,MOTHER,false,false
5833,3158,FATHER,true,false
5833,3159,MOTHER,false,false
5862,3332,FATHER,true,false
5862,3333,MOTHER,false,false
5863,2761,FATHER,true,false
5863,2762,MOTHER,false,false
5864,2971,FATHER,true,false
5864,2972,MOTHER,false,false
5866,2674,FATHER,true,false
5866,2675,MOTHER,false,false
5873,2801,FATHER,true,false
5873,2802,MOTHER,false,false
5874,2868,FATHER,true,false
5874,2869,MOTHER,false,false
5877,3084,FATHER,true,false
5877,3085,MOTHER,false,false
5879,3697,MOTHER,false,false
5882,3674,FATHER,true,false
5882,3675,MOTHER,false,false
5890,2853,FATHER,true,false
5890,2854,MOTHER,false,false
5895,3838,FATHER,true,false
5921,3135,FATHER,true,false
5921,3136,MOTHER,false,false
5924,3524,FATHER,true,false
5924,3525,MOTHER,false,false
5925,2707,FATHER,true,false
5925,2784,MOTHER,false,false
5927,3137,FATHER,true,false
5927,3138,MOTHER,false,false
5928,2686,MOTHER,false,false
5928,3139,FATHER,true,false
5936,3397,FATHER,true,false
5936,3398,MOTHER,false,false
5937,3397,FATHER,true,false
5937,3398,MOTHER,false,false
5948,3103,MOTHER,false,false
5952,3171,FATHER,true,false
5955,3361,FATHER,true,false
5955,3362,MOTHER,false,false
5956,2930,FATHER,true,false
5956,2931,MOTHER,false,false
5958,3160,FATHER,true,false
5959,3161,FATHER,true,false
5959,3162,MOTHER,false,false
5960,2853,FATHER,true,false
5960,2854,MOTHER,false,false
5962,3104,FATHER,true,false
5962,3105,MOTHER,false,false
5963,2970,FATHER,true,false
5981,3086,FATHER,true,false
5981,3087,MOTHER,false,false
5982,2865,MOTHER,false,false
5982,3163,FATHER,true,false
5983,2864,FATHER,true,false
5983,2865,MOTHER,false,false
6046,3676,FATHER,true,false
6046,3677,MOTHER,false,false
6087,3140,FATHER,true,false
6087,3141,MOTHER,false,false
6089,2903,FATHER,true,false
6089,2904,MOTHER,false,false
6102,2763,FATHER,true,false
6106,3142,FATHER,true,false
6106,3143,MOTHER,false,false
6113,3300,FATHER,true,false
6113,3301,MOTHER,false,false
6121,3639,FATHER,true,false
6126,3344,FATHER,true,false
6126,3345,MOTHER,false,false
6128,3106,FATHER,true,false
6128,3107,MOTHER,false,false
6130,3088,FATHER,true,false
6130,3089,MOTHER,false,false
6131,2836,FATHER,true,false
6131,2837,MOTHER,false,false
6136,2657,FATHER,true,false
6136,2658,MOTHER,false,false
6139,3281,FATHER,true,false
6139,3282,MOTHER,false,false
6141,2830,FATHER,true,false
6141,2831,MOTHER,false,false
6143,3255,FATHER,true,false
6143,3256,MOTHER,false,false
6144,3255,FATHER,true,false
6144,3256,MOTHER,false,false
6145,3766,FATHER,true,false
6145,3767,MOTHER,false,false
6146,3766,FATHER,true,false
6146,3767,MOTHER,false,false
6151,2661,FATHER,true,false
6151,2662,MOTHER,false,false
6170,3847,FATHER,true,false
6199,3003,FATHER,true,false
6200,3257,FATHER,true,false
6200,3258,MOTHER,false,false
6201,2763,FATHER,true,false
6201,2764,MOTHER,false,false
6220,2759,FATHER,true,false
6220,2760,MOTHER,false,false
6222,3090,FATHER,true,false
6222,3091,MOTHER,false,false
6223,3144,FATHER,true,false
6223,3145,MOTHER,false,false
6231,3764,FATHER,true,false
6231,3765,MOTHER,false,false
6234,3334,FATHER,true,false
6234,3335,MOTHER,false,false
6258,3363,FATHER,true,false
6258,3364,MOTHER,false,false
6278,3399,FATHER,true,false
6278,3400,MOTHER,false,false
6287,3833,FATHER,true,false
6295,3846,FATHER,true,false
6306,3845,FATHER,true,false
6318,3606,FATHER,true,false
6319,3606,FATHER,true,false
6323,2853,FATHER,true,false
6323,2854,MOTHER,false,false
6326,3563,FATHER,true,false
6326,3564,MOTHER,false,false
6343,3063,FATHER,true,false
6343,3064,MOTHER,false,false
6344,3063,FATHER,true,false
6344,3064,MOTHER,false,false
6350,2891,FATHER,true,false
6350,2892,MOTHER,false,false
6351,3108,FATHER,true,false
6351,3109,MOTHER,false,false
6353,3302,FATHER,true,false
6353,3303,MOTHER,false,false
6354,3025,FATHER,true,false
6354,3026,MOTHER,false,false
6355,3216,FATHER,true,false
6355,3217,MOTHER,false,false
6356,3216,FATHER,true,false
6356,3217,MOTHER,false,false
6357,3302,FATHER,true,false
6357,3303,MOTHER,false,false
6365,3065,FATHER,true,false
6365,3066,MOTHER,false,false
6366,3013,FATHER,true,false
6367,2909,FATHER,true,false
6367,2910,MOTHER,false,false
6377,3000,FATHER,true,false
6378,3000,FATHER,true,false
6379,3000,FATHER,true,false
6379,3466,MOTHER,false,false
6381,2749,FATHER,true,false
6381,2750,MOTHER,false,false
6391,3218,FATHER,true,false
6391,3219,MOTHER,false,false
6393,2952,FATHER,true,false
6393,2953,MOTHER,false,false
6394,3259,FATHER,true,false
6394,3260,MOTHER,false,false
6395,3588,FATHER,true,false
6395,3589,MOTHER,false,false
6397,3001,FATHER,true,false
6398,2832,FATHER,true,false
6398,2833,MOTHER,false,false
6399,2707,FATHER,true,false
6400,3467,FATHER,true,false
6409,3844,FATHER,true,false
6410,3189,MOTHER,false,false
6421,2925,FATHER,true,false
6421,2926,MOTHER,false,false
6422,3304,MOTHER,false,false
6422,3468,FATHER,true,false
6423,3304,MOTHER,false,false
6425,3261,FATHER,true,false
6425,3262,MOTHER,false,false
6427,2874,MOTHER,false,false
6427,3220,FATHER,true,false
6432,3027,FATHER,true,false
6437,3843,FATHER,true,false
6448,3014,FATHER,true,false
6449,3014,FATHER,true,false
6450,3014,FATHER,true,false
6451,3164,FATHER,true,false
6451,3165,MOTHER,false,false
6452,3164,FATHER,true,false
6452,3165,MOTHER,false,false
6460,3110,FATHER,true,false
6460,3111,MOTHER,false,false
6461,2966,FATHER,true,false
6461,2967,MOTHER,false,false
6462,2954,FATHER,true,false
6463,2954,FATHER,true,false
6464,3365,MOTHER,false,false
6495,3768,FATHER,true,false
6495,3769,MOTHER,false,false
6499,3112,FATHER,true,false
6499,3113,MOTHER,false,false
6500,3112,FATHER,true,false
6500,3113,MOTHER,false,false
6503,2917,FATHER,true,false
6503,2918,MOTHER,false,false
6504,2918,MOTHER,false,false
6504,3190,FATHER,true,false
6507,3469,FATHER,true,false
6507,3470,MOTHER,false,false
6510,3837,FATHER,true,false
6512,3067,FATHER,true,false
6512,3068,MOTHER,false,false
6513,3015,FATHER,true,false
6513,3016,MOTHER,false,false
6514,2981,FATHER,true,false
6514,2982,MOTHER,false,false
6518,3760,FATHER,true,false
6518,3761,MOTHER,false,false
6519,3760,FATHER,true,false
6519,3761,MOTHER,false,false
6528,2983,FATHER,true,false
6528,2984,MOTHER,false,false
6529,3114,FATHER,true,false
6529,3115,MOTHER,false,false
6532,3191,FATHER,true,false
6532,3192,MOTHER,false,false
6536,2955,FATHER,true,false
6536,2956,MOTHER,false,false
6539,3774,FATHER,true,false
6539,3775,MOTHER,false,false
6540,2755,FATHER,true,false
6540,2756,MOTHER,false,false
6543,2968,FATHER,true,false
6543,2969,MOTHER,false,false
6548,3146,FATHER,true,false
6548,3147,MOTHER,false,false
6551,3002,FATHER,true,false
6552,3002,FATHER,true,false
6566,3028,FATHER,true,false
6566,3029,MOTHER,false,false
6580,3640,MOTHER,false,false
6587,3401,FATHER,true,false
6587,3402,MOTHER,false,false
6588,3401,FATHER,true,false
6588,3402,MOTHER,false,false
6589,3770,MOTHER,false,false
6593,3040,FATHER,true,false
6596,3762,FATHER,true,false
6596,3763,MOTHER,false,false
6601,2977,MOTHER,false,false
6602,3746,FATHER,true,false
6602,3747,MOTHER,false,false
6606,2850,MOTHER,false,false
6607,3041,FATHER,true,false
6607,3042,MOTHER,false,false
6611,2733,MOTHER,false,false
6611,3043,FATHER,true,false
6612,3011,FATHER,true,false
6612,3012,MOTHER,false,false
6613,3011,FATHER,true,false
6613,3012,MOTHER,false,false
6615,2957,FATHER,true,false
6615,2958,MOTHER,false,false
6616,3607,FATHER,true,false
6616,3608,MOTHER,false,false
6617,3327,FATHER,true,false
6621,2985,FATHER,true,false
6621,2986,MOTHER,false,false
6622,2903,FATHER,true,false
6622,2904,MOTHER,false,false
6626,2765,FATHER,true,false
6626,2766,MOTHER,false,false
6628,2759,FATHER,true,false
6628,2760,MOTHER,false,false
6635,3002,FATHER,true,false
6638,2942,FATHER,true,false
6641,3366,MOTHER,false,false
6647,3415,FATHER,true,false
6647,3416,MOTHER,false,false
6648,3565,FATHER,true,false
6648,3566,MOTHER,false,false
6649,2987,FATHER,true,false
6649,2988,MOTHER,false,false
6653,2834,FATHER,true,false
6653,2835,MOTHER,false,false
6662,3771,FATHER,true,false
6670,3044,FATHER,true,false
6670,3045,MOTHER,false,false
6671,2959,FATHER,true,false
6671,2960,MOTHER,false,false
6672,2959,FATHER,true,false
6672,2960,MOTHER,false,false
6673,3092,MOTHER,false,false
6678,2669,FATHER,true,false
6679,3030,FATHER,true,false
6679,3031,MOTHER,false,false
6680,3017,FATHER,true,false
6680,3018,MOTHER,false,false
6681,3017,FATHER,true,false
6681,3018,MOTHER,false,false
6682,3017,FATHER,true,false
6682,3018,MOTHER,false,false
6687,3116,FATHER,true,false
6687,3117,MOTHER,false,false
6688,2905,FATHER,true,false
6688,2906,MOTHER,false,false
6692,3740,FATHER,true,false
6692,3741,MOTHER,false,false
6693,3046,FATHER,true,false
6693,3047,MOTHER,false,false
6695,3003,FATHER,true,false
6696,3471,FATHER,true,false
6696,3472,MOTHER,false,false
6699,3093,FATHER,true,false
6699,3094,MOTHER,false,false
6700,3093,FATHER,true,false
6700,3094,MOTHER,false,false
6703,3305,FATHER,true,false
6704,2973,FATHER,true,false
6705,3118,FATHER,true,false
6705,3119,MOTHER,false,false
6706,3118,FATHER,true,false
6706,3119,MOTHER,false,false
6712,3842,FATHER,true,false
6713,3166,MOTHER,false,false
6717,3473,FATHER,true,false
6717,3474,MOTHER,false,false
6724,3698,FATHER,true,false
6730,2701,FATHER,true,false
6730,2702,MOTHER,false,false
6737,3678,FATHER,true,false
6737,3679,MOTHER,false,false
6738,2907,FATHER,true,false
6738,2908,MOTHER,false,false
6739,2889,FATHER,true,false
6739,2890,MOTHER,false,false
6741,2970,FATHER,true,false
6743,2909,FATHER,true,false
6743,2910,MOTHER,false,false
6747,3019,FATHER,true,false
6747,3020,MOTHER,false,false
6748,3019,FATHER,true,false
6748,3020,MOTHER,false,false
6749,2868,FATHER,true,false
6749,2869,MOTHER,false,false
6750,3567,FATHER,true,false
6756,2971,FATHER,true,false
6756,2972,MOTHER,false,false
6758,3336,FATHER,true,false
6761,2932,FATHER,true,false
6761,2933,MOTHER,false,false
6764,2934,FATHER,true,false
6766,2655,FATHER,true,false
6766,2656,MOTHER,false,false
6767,3048,FATHER,true,false
6770,3680,MOTHER,false,false
6774,3148,FATHER,true,false
6778,3069,FATHER,true,false
6778,3070,MOTHER,false,false
6779,2989,FATHER,true,false
6779,2990,MOTHER,false,false
6780,3193,FATHER,true,false
6780,3194,MOTHER,false,false
6781,3263,FATHER,true,false
6784,3263,FATHER,true,false
6784,3264,MOTHER,false,false
