C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
7515,27500,27500,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+27500)"
7543,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7640,16575,16575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16575)"
7654,14575,14575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+14575)"
7673,16575,16575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16575)"
7705,149175,0,MISMATCH,-149175,0,0,0,0,0,0,""
4196,18975,18975,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+18975)"
4213,20975,20975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20975)"
4223,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
4224,39950,39950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+19975) | ISSUED(+19975)"
4258,35950,35950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975)"
4267,13995,37950,MISMATCH,23955,1,1,1,0,0,0,"NOT_ISSUED(+18975) | ISSUED(+18975)"
4279,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
4284,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
4350,39950,39950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+19975) | ISSUED(+19975)"
4388,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
4398,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
4847,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
4939,22770,22770,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+22770)"
5016,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
5130,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
5134,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
5253,39950,39950,MATCH,0,2,1,1,0,0,0,"NOT_ISSUED(+19975) | ISSUED(+19975)"
5305,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
5400,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
5402,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
