cc,status
5400,Only in cleaned_fees_heads.csv
5402,Only in cleaned_fees_heads.csv
5644,Only in cleaned_fees_heads.csv
5762,Only in cleaned_fees_heads.csv
5822,Only in cleaned_fees_heads.csv
6379,Only in cleaned_fees_heads.csv
6400,Only in cleaned_fees_heads.csv
6422,Only in cleaned_fees_heads.csv
6499,Only in cleaned_fees_heads.csv
6507,Only in cleaned_fees_heads.csv
6582,Only in cleaned_fees_heads.csv
6612,Only in cleaned_fees_heads.csv
6696,Only in cleaned_fees_heads.csv
6717,Only in cleaned_fees_heads.csv
7046,Only in cleaned_fees_heads.csv
7246,Only in cleaned_fees_heads.csv
7253,Only in cleaned_fees_heads.csv
7273,Only in cleaned_fees_heads.csv
7336,Only in cleaned_fees_heads.csv
7579,Only in cleaned_fees_heads.csv
7588,Only in cleaned_fees_heads.csv
7605,Only in cleaned_fees_heads.csv
7630,Only in cleaned_fees_heads.csv
7635,Only in cleaned_fees_heads.csv
7657,Only in cleaned_fees_heads.csv
7656,Only in cleaned_fees_heads.csv
7664,Only in cleaned_fees_heads.csv
7726,Only in cleaned_fees_heads.csv
7728,Only in cleaned_fees_heads.csv
7740,Only in cleaned_fees_heads.csv
7761,Only in cleaned_fees_heads.csv
7807,Only in cleaned_fees_heads.csv
3851,Only in cleaned_fees_heads.csv
3914,Only in cleaned_fees_heads.csv
3974,Only in cleaned_fees_heads.csv
3980,Only in cleaned_fees_heads.csv
3992,Only in cleaned_fees_heads.csv
4012,Only in cleaned_fees_heads.csv
4019,Only in cleaned_fees_heads.csv
4036,Only in cleaned_fees_heads.csv
4053,Only in cleaned_fees_heads.csv
4080,Only in cleaned_fees_heads.csv
4228,Only in cleaned_fees_heads.csv
4334,Only in cleaned_fees_heads.csv
4390,Only in cleaned_fees_heads.csv
4445,Only in cleaned_fees_heads.csv
4524,Only in cleaned_fees_heads.csv
4867,Only in cleaned_fees_heads.csv
4917,Only in cleaned_fees_heads.csv
5117,Only in cleaned_fees_heads.csv
5227,Only in cleaned_fees_heads.csv
5407,Only in cleaned_fees_heads.csv
5423,Only in cleaned_fees_heads.csv
5493,Only in cleaned_fees_heads.csv
5643,Only in cleaned_fees_heads.csv
5924,Only in cleaned_fees_heads.csv
5936,Only in cleaned_fees_heads.csv
6289,Only in cleaned_fees_heads.csv
6617,Only in cleaned_fees_heads.csv
6659,Only in cleaned_fees_heads.csv
6787,Only in cleaned_fees_heads.csv
7045,Only in cleaned_fees_heads.csv
7220,Only in cleaned_fees_heads.csv
7248,Only in cleaned_fees_heads.csv
7254,Only in cleaned_fees_heads.csv
7266,Only in cleaned_fees_heads.csv
7276,Only in cleaned_fees_heads.csv
7281,Only in cleaned_fees_heads.csv
7280,Only in cleaned_fees_heads.csv
7312,Only in cleaned_fees_heads.csv
7334,Only in cleaned_fees_heads.csv
7449,Only in cleaned_fees_heads.csv
7639,Only in cleaned_fees_heads.csv
7692,Only in cleaned_fees_heads.csv
3518,Only in cleaned_fees_heads.csv
3486,Only in cleaned_fees_heads.csv
3475,Only in cleaned_fees_heads.csv
3644,Only in cleaned_fees_heads.csv
3707,Only in cleaned_fees_heads.csv
3717,Only in cleaned_fees_heads.csv
3758,Only in cleaned_fees_heads.csv
3772,Only in cleaned_fees_heads.csv
3819,Only in cleaned_fees_heads.csv
3807,Only in cleaned_fees_heads.csv
3868,Only in cleaned_fees_heads.csv
3928,Only in cleaned_fees_heads.csv
4411,Only in cleaned_fees_heads.csv
4523,Only in cleaned_fees_heads.csv
4660,Only in cleaned_fees_heads.csv
4732,Only in cleaned_fees_heads.csv
4996,Only in cleaned_fees_heads.csv
5012,Only in cleaned_fees_heads.csv
5105,Only in cleaned_fees_heads.csv
5113,Only in cleaned_fees_heads.csv
5327,Only in cleaned_fees_heads.csv
5365,Only in cleaned_fees_heads.csv
5406,Only in cleaned_fees_heads.csv
5781,Only in cleaned_fees_heads.csv
5820,Only in cleaned_fees_heads.csv
6126,Only in cleaned_fees_heads.csv
6170,Only in cleaned_fees_heads.csv
6295,Only in cleaned_fees_heads.csv
6306,Only in cleaned_fees_heads.csv
6326,Only in cleaned_fees_heads.csv
6409,Only in cleaned_fees_heads.csv
6437,Only in cleaned_fees_heads.csv
6613,Only in cleaned_fees_heads.csv
6648,Only in cleaned_fees_heads.csv
6712,Only in cleaned_fees_heads.csv
6750,Only in cleaned_fees_heads.csv
6962,Only in cleaned_fees_heads.csv
6966,Only in cleaned_fees_heads.csv
7055,Only in cleaned_fees_heads.csv
7057,Only in cleaned_fees_heads.csv
7081,Only in cleaned_fees_heads.csv
7167,Only in cleaned_fees_heads.csv
7286,Only in cleaned_fees_heads.csv
7337,Only in cleaned_fees_heads.csv
7530,Only in cleaned_fees_heads.csv
7706,Only in cleaned_fees_heads.csv
7598,Only in cleaned_fees_heads.csv
7654,Only in cleaned_fees_heads.csv
7660,Only in cleaned_fees_heads.csv
7661,Only in cleaned_fees_heads.csv
7698,Only in cleaned_fees_heads.csv
7716,Only in cleaned_fees_heads.csv
7686,Only in cleaned_fees_heads.csv
7829,Only in cleaned_fees_heads.csv
7830,Only in cleaned_fees_heads.csv
7856,Only in cleaned_fees_heads.csv
7875,Only in cleaned_fees_heads.csv
7886,Only in cleaned_fees_heads.csv
7894,Only in cleaned_fees_heads.csv
7543,Only in cleaned_fees_heads.csv
7640,Only in cleaned_fees_heads.csv
7666,Only in cleaned_fees_heads.csv
7673,Only in cleaned_fees_heads.csv
7699,Only in cleaned_fees_heads.csv
7705,Only in cleaned_fees_heads.csv
7783,Only in cleaned_fees_heads.csv
7831,Only in cleaned_fees_heads.csv
7837,Only in cleaned_fees_heads.csv
7846,Only in cleaned_fees_heads.csv
7858,Only in cleaned_fees_heads.csv
7867,Only in cleaned_fees_heads.csv
7890,Only in cleaned_fees_heads.csv
7247,Only in cleaned_fees_heads.csv
7274,Only in cleaned_fees_heads.csv
7287,Only in cleaned_fees_heads.csv
7382,Only in cleaned_fees_heads.csv
7432,Only in cleaned_fees_heads.csv
7438,Only in cleaned_fees_heads.csv
7444,Only in cleaned_fees_heads.csv
7450,Only in cleaned_fees_heads.csv
7457,Only in cleaned_fees_heads.csv
7469,Only in cleaned_fees_heads.csv
7652,Only in cleaned_fees_heads.csv
