C.C.,Receivable
4996.0,18232
5012.0,18975
5365.0,21975
5781.0,18975
6306.0,18975
6326.0,18975
6437.0,24575
6712.0,20975
6750.0,18975
6962.0,13950
6966.0,22975
7055.0,23925
7057.0,43950
7081.0,19975
7286.0,41950
7371.0,15975
7583.0,10575
7702.0,11975
7508.0,2500
7529.0,40000
6287.0,14975
6365.0,10325
6512.0,16975
6889.0,17975
7010.0,17975
7019.0,16975
7270.0,14975
7299.0,17975
7556.0,16175
7659.0,16575
7421.0,17975
5542.0,16975
7800.0,13975
7807.0,22575
7808.0,17975
7809.0,17975
7812.0,17575
7811.0,17975
7783.0,10975
4915.0,14025
5078.0,14975
5372.0,14975
5385.0,14975
4846.0,0
5195.0,16975
5560.0,16975
5108.0,13975
5359.0,16975
5382.0,16975
5343.0,14975
7789.0,18975
7768.0,20575
7802.0,20975
7788.0,19975
7784.0,16975
7769.0,18575
7804.0,17975
7797.0,6191
7803.0,17975
7787.0,12975
7813.0,15000
5346.0,28292
7817.0,23575
7818.0,23500
7822.0,17975
7823.0,17975
7780.0,13575
7779.0,13575
7775.0,15575
7830.0,18575
7829.0,18575
7831.0,11820
7832.0,13975
7833.0,14975
7751.0,16975
7835.0,33571
7837.0,18575
7842.0,19095
7844.0,13975
7846.0,17975
7848.0,17575
7849.0,16575
7856.0,13975
7857.0,13975
7858.0,13975
7859.0,13975
7862.0,13975
7872.0,13975
7874.0,0
7880.0,13975
7881.0,13975
7889.0,54666
7899.0,39950
,19975
7904.0,19975
7905.0,19975
7906.0,39950
7910.0,45950
7911.0,43950
7912.0,39950
7915.0,19950
7914.0,19975
7916.0,172600
7917.0,47950
7918.0,39975
7665.0,14575
7608.0,10575
7620.0,12575
7631.0,12575
7649.0,14575
7701.0,10575
7721.0,14575
7738.0,14575
7739.0,14575
7746.0,14575
7747.0,14575
7753.0,14575
7614.0,12575
7626.0,12575
7700.0,14575
7730.0,14575
7748.0,14575
7754.0,14575
7596.0,12575
7689.0,14575
7600.0,12575
7641.0,12575
7607.0,11575
7647.0,12575
7606.0,12575
7819.0,14575
7798.0,14575
7790.0,14575
7770.0,14575
